                    The descriptions of config file entries
                    =======================================

NB: set tab stops to 40 and text width to 180 for better viewing

entry name in the program	entry name in config file	default value	meaning
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

MP_ADBFILE	AddressBook
MP_FVIEW_RECENTCOLOUR	FViewRecentColour	"red"
MP_FVIEW_UNREADCOLOUR	FViewUnreadColour	"blue"
MP_GLOBALDIR	GlobalDir	M_BASEDIR or ""
MP_HEIGHT	Height	400
MP_HELPBROWSER	HelpBrowser	"netscape"
MP_HELPBROWSER_ISNS	HelpBrowserIsNetscape	1
MP_HELPFRAME_HEIGHT	HelpFrameHeight	500l
MP_HELPFRAME_WIDTH	HelpFrameWidth	560l
MP_HELPFRAME_XPOS	HelpFrameXpos	40l
MP_HELPFRAME_YPOS	HelpFrameYpos	40l
MP_HIGHLIGHT_URLS	HighlightURL	1
MP_HOSTNAME	HostName	M_EMPTYSTRING
MP_ICONISED	Iconised	0l
MP_ICONPATH	IconDirectory	"icons"
MP_ICON_MAINFRAME	MainFrameIcon	"mainframe.xpm"
MP_ICON_MFRAME	MFrameIcon	"mframe.xpm"
MP_IMAPHOST	Imap4Host	"imap"
MP_IMAP_LOOKAHEAD	IMAPlookahead	0l
MP_INCFAX_DOMAINS	IncomingFaxDomains	"efax.com"
MP_INCFAX_SUPPORT	IncomingFaxSupport	1L
MP_INLINE_GFX	InlineGraphics	1
MP_LASTTIP	LastTip	0L
MP_LAST_CREATED_FOLDER_TYPE	LastFolderType	(int)File
MP_LICENSE_ACCEPTED	LicenseAccepted	0l
MP_LOCALE	Locale	M_EMPTYSTRING
MP_LOGLEVEL	LogLevel	0l
MP_MAILCAP	MailCap	"mailcap"
MP_MAINFOLDER	MainFolder	"INBOX"
MP_MAX_HEADERS_NUM	MaxHeadersNum	100l
MP_MAX_MESSAGE_SIZE	MaxMsgSize	100l
MP_MBOXDIR	FolderDir	M_EMPTYSTRING
MP_MIMETYPES	MimeTypes	"mime.types"
MP_MODULES	Modules	"Filters"
MP_MSGS_SEARCH_ARG	SearchArgument	"foo"
MP_MSGS_SEARCH_CRIT	SearchCriterium	0l
MP_MSGS_SORTBY	SortMessagesBy	55l
MP_MSGS_USE_THREADING	ThreadMessages	1l
MP_MSGVIEW_ALL_HEADERS	MsgViewAllHeaders	\
MP_MSGVIEW_AUTO_ENCODING	MsgViewAutoDetectEnc	1
MP_MSGVIEW_DEFAULT_ENCODING	DefEncoding	(long)wxFONTENCODING_DEFAULT
MP_MSGVIEW_HEADERS	MsgViewHeaders	\
MP_MVIEW_BGCOLOUR	MViewBgColour	"white"
MP_MVIEW_FGCOLOUR	MViewFgColour	"black"
MP_MVIEW_FONT	MViewFont	0L
MP_MVIEW_FONT_SIZE	MViewFontSize	12L
MP_MVIEW_HEADER_NAMES_COLOUR	MViewHeaderNamesColour	"blue"
MP_MVIEW_HEADER_VALUES_COLOUR	MViewHeaderValuesColour	"black"
MP_MVIEW_QUOTED_COLOUR1	MViewQuotedColour1	"gray"
MP_MVIEW_QUOTED_COLOUR2	MViewQuotedColour2	"gray"
MP_MVIEW_QUOTED_COLOUR3	MViewQuotedColour3	"gray"
MP_MVIEW_QUOTED_COLOURIZE	MViewQuotedColourized	1L
MP_MVIEW_QUOTED_CYCLE_COLOURS	MViewQuotedCycleColours	0L
MP_MVIEW_QUOTED_MAXALPHA	MViewQuotedMaxAlpha	3L
MP_MVIEW_QUOTED_MAXWHITESPACE	MViewQuotedMaxWhitespace	2L
MP_MVIEW_URLCOLOUR	MViewUrlColour	"blue"
MP_NET_CONNECTION	RasConnection	"RasConnection"
MP_NET_OFF_COMMAND	NetOnCommand	"killall pppd"
MP_NET_ON_COMMAND	NetOffCommand	"wvdial"
MP_NEWMAILCOMMAND	OnNewMail	"/usr/bin/play "M_BASEDIR"/newmail.wav" or ""
MP_NEWMAIL_FOLDER	NewMailFolder	"" // obsolete
MP_NEWS_SPOOL_DIR	NewsSpool	M_EMPTYSTRING
MP_NNTPHOST	NewsHost	"news"
MP_NNTPHOST_FB	news"
MP_NNTPHOST_LOGIN	NewsHostLogin	""
MP_NNTPHOST_PASSWORD	NewsHostPw	""
MP_NNTPHOST_USE_SSL	NewsHostSSL	0l
MP_OLD_FOLDER_HOST	HostName"
MP_OPENFOLDERS	OpenFolders	M_EMPTYSTRING
MP_OPEN_ON_CLICK	ClickToOpen	0l
MP_OUTBOX_NAME	OutBoxName	""
MP_OUTGOINGFOLDER	SentMailFolder	"" // obsolete
MP_PATHLIST	PathList	M_PREFIX ":/usr/local:/usr/:/opt:/opt/local:/usr/opt:/usr/local/opt"
MP_PERSONALNAME	PersonalName	M_EMPTYSTRING
MP_POLLINCOMINGDELAY	PollIncomingDelay	300
MP_POPHOST	Pop3Host	"pop"
MP_PREFIXPATH	PrefixPath	"/usr:/usr/local:/opt:/usr/share:/usr/local/share:/opt/share:/usr/local/opt:/usr/local/opt/share:/tmp"
MP_PREVIEW_ON_SELECT	PreviewOnSelect	1l
MP_PREVIEW_SEND	PreviewSend	0l
MP_PRINT_BOTTOMMARGIN_X	PrintMarginRight	0l
MP_PRINT_BOTTOMMARGIN_Y	PrintMarginBottom	0l
MP_PRINT_COLOUR	PrintUseColour	1
MP_PRINT_COMMAND	PrintCommand	"lpr"
MP_PRINT_FILE	PrintFilenname	"mahogany.ps"
MP_PRINT_MODE	PrintMode	0  /* PS_PRINTER */
MP_PRINT_OPTIONS	PrintOptions	""
MP_PRINT_ORIENTATION	PrintOrientation	1  /* wxPORTRAIT */
MP_PRINT_PAPER	PrintPaperType	0L
MP_PRINT_PREVIEWZOOM	PrintPreviewZoom	100l
MP_PRINT_TOPMARGIN_X	PrintMarginLeft	0l
MP_PRINT_TOPMARGIN_Y	PrintMarginTop	0l
MP_PROFILE_EXTENSION	ProfileExtension	".profile"
MP_PROFILE_IDENTITY	ProfileId	""
MP_PROFILE_PATH	ProfilePath	"."
MP_PROFILE_TYPE	ProfileType	0l
MP_PYTHONPATH	PythonPath	M_EMPTYSTRING
MP_RECORDDEFAULTS	RecordDefaults	0l
MP_REPLY_COLLAPSE_PREFIX	CollapseReplyPrefix	2l
MP_REPLY_MSGPREFIX	ReplyQuote	"> "
MP_REPLY_MSGPREFIX_FROM_SENDER	ReplyQuoteUseSender	0l
MP_REPLY_PREFIX	ReplyPrefix	"Re: "
MP_REPLY_QUOTE_EMPTY	ReplyQuoteEmpty	1l
MP_REPLY_ADDRESS	ReplyAddress	M_EMPTYSTRING	Reply address
MP_RFC822_IS_TEXT	Rfc822IsText	0l
MP_ROOTDIRNAME	RootDirectoryName	"Mahogany"
MP_RSH_PATH	RshPath	"rsh"
MP_SENDMAILCMD	SendmailCmd	"/usr/sbin/sendmail -t"
MP_SET_REPLY_FROM_TO	ReplyEqualsTo	0l
MP_SHOWADBEDITOR	ShowAdb	0L
MP_SHOWBCC	ShowBCC	1
MP_SHOWCC	ShowCC	1
MP_SHOWCONSOLE	ShowConsole	1
MP_SHOWHEADERS	ShowHeaders	0l
MP_SHOWLOG	ShowLog	1
MP_SHOWSPLASH	ShowSplash	1
MP_SHOWTIPS	ShowTips	1L
MP_SHOW_HIDDEN_FOLDERS	ShowHiddenFolders	0l
MP_SHOW_NEWMAILINFO	ShowNewMailInfo	10
MP_SHOW_NEWMAILMSG	ShowNewMail	1
MP_SHOW_XFACES	ShowXFaces	1
MP_SMTPHOST	MailHost	"mail"
MP_SMTPHOST_FB	localhost"
MP_SMTPHOST_LOGIN	MailHostLogin	""
MP_SMTPHOST_PASSWORD	MailHostPw	""
MP_SMTPHOST_USE_SSL	MailHostSSL	0l
MP_SPLASHDELAY	SplashDelay	5
MP_SSH_PATH	SshPath	"ssh"
MP_SSL_DLL_CRYPTO	CryptoDll	"libcrypto.dll" or "libcrypto.so.0"
MP_SSL_DLL_SSL	SSLDll	"libssl.dll" or "libssl.so.0"
MP_STARTUPSCRIPT	StartupScript	"Minit"
MP_SYNC_DATE	SyncDate	0L
MP_SYNC_FILTERS	SyncFilters	0L
MP_SYNC_FOLDER	SyncFolder	"MahoganySharedConfig"
MP_SYNC_FOLDERGROUP	SyncFolderGroup	""
MP_SYNC_FOLDERS	SyncFolders	0L
MP_SYNC_IDS	SyncIds	0L
MP_SYNC_REMOTE	SyncRemote	0L
MP_TCP_CLOSETIMEOUT	TCPCloseTimeout	60l
MP_TCP_OPENTIMEOUT	TCPOpenTimeout	10l
MP_TCP_READTIMEOUT	TCPReadTimeout	30l
MP_TCP_RSHTIMEOUT	TCPRshTimeout	0l
MP_TCP_SSHTIMEOUT	TCPSshTimeout	0l
MP_TCP_WRITETIMEOUT	TCPWriteTimeout	30l
MP_TEMPLATE_FOLLOWUP	Followup"
MP_TEMPLATE_FORWARD	Forward"
MP_TEMPLATE_NEWARTICLE	NewArticle"
MP_TEMPLATE_NEWMESSAGE	NewMessage"
MP_TEMPLATE_REPLY	Reply"
MP_TESTENTRY	TestEntry	0L
MP_TIFF2PS	FaxToPS	"tiff2ps -ap %s -O %s"
MP_TMPGFXFORMAT	ConvertGfxFormat	2
MP_TRASH_FOLDER	TrashFolder	""
MP_UMASK	Umask	022
MP_UPDATEINTERVAL	UpdateInterval	180
MP_USEOUTGOINGFOLDER	KeepCopies	1
MP_USEPYTHON	UsePython	1
MP_USERDIR	UserDirectory	M_EMPTYSTRING
MP_USERLEVEL	Userlevel	M_USERLEVEL_NOVICE
MP_USERNAME	UserName	M_EMPTYSTRING
MP_USER_MDIR	MDirName	".M"
MP_USEVCARD	UseVCard	0l
MP_USE_NEWMAILCOMMAND	CommandOnNewMail	0l
MP_USE_OUTBOX	UseOutBox	1l
MP_USE_SENDMAIL	UseSendmail	0l
MP_USE_TRASH_FOLDER	UseTrash	1l
MP_VCARD	VCard	"vcard.vcf"
MP_VERSION	Version	M_EMPTYSTRING
MP_VIEW_AUTOMATIC_WORDWRAP	ViewAutoWrap	1l
MP_VIEW_WRAPMARGIN	ViewWrapMargin	70
MP_WIDTH	Width	600
MP_WRAPMARGIN	WrapMargin	60
MP_XPOS	XPos	20
MP_YPOS	YPos	50

vi: set ts=40 noet nolist tw=0:
